P_chamber_psia,OF_ratio,Isp_s,Cstar_m_s
350.0,12.586206896551724,273.4484010634067,1522.5312737738845
350.0,13.068965517241379,271.6024480820815,1515.0702059949344
350.0,13.551724137931036,269.8166481726942,1507.8136240501117
350.0,14.03448275862069,268.0916042388182,1500.7551116771947
350.0,14.517241379310345,266.4268103441817,1493.8878480484075
350.0,15.0,264.821042602122,1487.2051298123993
400.0,1.0,202.4780146191656,1113.0288798477154
400.0,1.4827586206896552,215.12224277878704,1187.885539473511
400.0,1.9655172413793105,224.3666211627413,1249.0177735638122
400.0,2.4482758620689653,232.08618323125,1306.9873791040177
400.0,2.931034482758621,238.61993090209864,1358.8162871471116
400.0,3.413793103448276,246.3675288912703,1423.1573720946724
400.0,3.896551724137931,256.038958460902,1484.9446964820816
400.0,4.379310344827586,264.55219145810497,1529.335794054124
400.0,4.862068965517242,271.140653018632,1561.785910221383
400.0,5.344827586206897,276.2307156002998,1585.345920684553
400.0,5.827586206896552,280.19079408680545,1601.5159107792254
400.0,6.310344827586207,283.23814040681907,1610.7640566088066
400.0,6.793103448275862,285.50655904020573,1613.6300989908743
400.0,7.275862068965518,287.08995633313225,1611.5131226161798
400.0,7.758620689655173,288.05177043169056,1606.1610506055906
400.0,8.24137931034483,288.4209226685004,1598.9675691466036
400.0,8.724137931034484,288.16876130592533,1590.8251938960257
400.0,9.206896551724139,287.1786569081628,1582.2558019972182
400.0,9.689655172413794,285.5132275967823,1573.55503632708
400.0,10.172413793103448,283.5668037536069,1564.888395022544
400.0,10.655172413793103,281.53546699418365,1556.3472589529663
400.0,11.13793103448276,279.493855066259,1547.9804840308054
400.0,11.620689655172415,277.4777554038762,1539.812650943716
400.0,12.10344827586207,275.5058855427229,1531.8542362165642
400.0,12.586206896551724,273.58821498020126,1524.1074058002223
400.0,13.068965517241379,271.72984052635866,1516.5700586452951
400.0,13.551724137931036,269.93296821117923,1509.2375188684746
400.0,14.03448275862069,268.1980270228783,1502.1039629578015
400.0,14.517241379310345,266.5243615213406,1495.1630422433504
400.0,15.0,264.91062026083006,1488.4084680645815
450.0,1.0,202.71828480676183,1114.4871191936054
450.0,1.4827586206896552,215.3995269658419,1189.5762521363586
450.0,1.9655172413793105,224.6287419386462,1250.3904008329143
450.0,2.4482758620689653,232.30373509481402,1307.6731400397018
450.0,2.931034482758621,238.79997791993895,1359.1012119973534
450.0,3.413793103448276,246.4732211780956,1423.1512578917707
450.0,3.896551724137931,256.06907888759343,1484.9348640621922
450.0,4.379310344827586,264.5583383254568,1529.3596270077624
450.0,4.862068965517242,271.15260708042223,1561.903480674439
450.0,5.344827586206897,276.25306589415874,1585.6328542547078
450.0,5.827586206896552,280.228121320735,1602.0649635677169
450.0,6.310344827586207,283.295416169295,1611.6589854726196
450.0,6.793103448275862,285.587876287943,1614.8747881340075
450.0,7.275862068965518,287.19798243749096,1613.0236275342897
450.0,7.758620689655173,288.18826085237157,1607.832671719933
450.0,8.24137931034483,288.58745282542264,1600.7182019854333
450.0,8.724137931034484,288.36664902594293,1592.6002973014922
450.0,9.206896551724139,287.40066357443135,1584.0208169988089
450.0,9.689655172413794,285.72914047281023,1575.288116890519
450.0,10.172413793103448,283.7647622508274,1566.5755041200862
450.0,10.655172413793103,281.7146906895035,1557.9793319505507
450.0,11.13793103448276,279.6557947768341,1549.5516224323
450.0,11.620689655172415,277.6242308457267,1541.3191069971167
450.0,12.10344827586207,275.6386354501096,1533.293776130317
450.0,12.586206896551724,273.7087928612228,1525.478921992162
450.0,13.068965517241379,271.8396057752017,1517.8732691918049
450.0,13.551724137931036,270.0331033705157,1510.472817745388
450.0,14.03448275862069,268.28956029106865,1503.2722403567104
450.0,14.517241379310345,266.6081912265323,1496.2657564737174
450.0,15.0,264.98753097167753,1489.447298801528
500.0,1.0,202.93179983344064,1115.7807302913993
500.0,1.4827586206896552,215.64727660043738,1191.0867671869244
500.0,1.9655172413793105,224.8652006103598,1251.6437928959735
500.0,2.4482758620689653,232.50164540498707,1308.3259984688843
500.0,2.931034482758621,238.96427520510747,1359.3799532162864
500.0,3.413793103448276,246.57047504708305,1423.1467498031839
500.0,3.896551724137931,256.0978017649102,1484.9262245714235
500.0,4.379310344827586,264.563776620386,1529.3788206303655
500.0,4.862068965517242,271.1627919269532,1562.0012505019097
500.0,5.344827586206897,276.2721830058474,1585.8745175418842
500.0,5.827586206896552,280.2602009586219,1602.5323967947572
500.0,6.310344827586207,283.344910179693,1612.430299694085
500.0,6.793103448275862,285.6585326751452,1615.9605314780056
500.0,7.275862068965518,287.29226627136757,1614.3529717620006
500.0,7.758620689655173,288.3077739300621,1609.3116227831197
500.0,8.24137931034483,288.7336119127015,1602.271410018574
500.0,8.724137931034484,288.5406851240794,1594.177250423253
500.0,9.206896551724139,287.5967838252297,1585.5893896062641
500.0,9.689655172413794,285.91986998765697,1576.8281118772888
500.0,10.172413793103448,283.93925447579704,1568.0738941930645
500.0,10.655172413793103,281.8724172888016,1559.4277661174333
500.0,11.13793103448276,279.79814070638486,1550.944657187754
500.0,11.620689655172415,277.7528555908561,1542.6533550939316
500.0,12.10344827586207,275.75510266576026,1534.5672469079263
500.0,12.586206896551724,273.814491070684,1526.6906524228937
500.0,13.068965517241379,271.93574620877854,1519.023092331234
500.0,13.551724137931036,270.12073783352423,1511.5611811385522
500.0,14.03448275862069,268.36960328495115,1504.3000899491653
500.0,14.517241379310345,266.6814385162673,1497.234441456514
500.0,15.0,265.0546797782522,1490.3584856449284
550.0,1.0,203.12373680477924,1116.9417005986788
