P_chamber_pascals,OF_ratio,Isp_s,Cstar_m_s
400000.0,3.5454545454545454,248.05674090327915,1442.4598462984727
400000.0,3.686868686868687,251.2455907916364,1460.9670954427233
400000.0,3.8282828282828283,254.3360231923837,1477.6426616246924
400000.0,3.9696969696969697,257.257091846964,1492.676934947569
400000.0,4.111111111111111,259.9367587784496,1506.2254135941398
400000.0,4.252525252525253,262.38660144019343,1518.4199854759263
400000.0,4.393939393939394,264.6298003713741,1529.3760730240392
400000.0,4.535353535353535,266.68814470737476,1539.1962856157377
400000.0,4.6767676767676765,268.5801814332429,1547.9718512808
400000.0,4.818181818181818,270.3216287970182,1555.7822493713572
400000.0,4.959595959595959,271.92579641924766,1562.6950790306119
400000.0,5.101010101010101,273.4039813401824,1568.765107310152
400000.0,5.242424242424242,274.76579551776666,1574.0355911069946
400000.0,5.383838383838384,276.0194394534328,1578.5402569524476
400000.0,5.525252525252525,277.1719557249247,1582.3066708958784
400000.0,5.666666666666666,278.2294246109104,1585.360920109414
400000.0,5.808080808080808,279.19721303088255,1587.7321180026604
400000.0,5.949494949494949,280.08010813535225,1589.4559037351314
400000.0,6.090909090909091,280.8824460195077,1590.5757035333434
400000.0,6.232323232323232,281.6081941074361,1591.142338521127
400000.0,6.373737373737374,282.26099445806557,1591.211875279978
400000.0,6.515151515151515,282.8449006501346,1590.842612818864
400000.0,6.656565656565657,283.36127118663643,1590.0923136391243
400000.0,6.797979797979798,283.8138369427253,1589.0159244592032
400000.0,6.9393939393939394,284.2050466656164,1587.6639291508432
400000.0,7.08080808080808,284.5370453079492,1586.0815438145848
400000.0,7.222222222222222,284.81168976569444,1584.3084906225197
400000.0,7.363636363636363,285.0305391941115,1582.3791216037912
400000.0,7.505050505050505,285.19486299340866,1580.3228430205943
400000.0,7.646464646464646,285.30563468497695,1578.1646613813734
400000.0,7.787878787878787,285.36353240522703,1575.9256109258347
400000.0,7.929292929292929,285.368927171525,1573.6233935708601
400000.0,8.07070707070707,285.32187967308454,1571.2728568627958
